"","Image1","Image2","Image3","Image4","Image5","Expec1","Expec2","Expec3","PerQual1","PerQual2","PerQual3","PerQual4","PerQual5","PerQual6","PerQual7","PerVal1","PerVal2","Satis1","Satis2","Satis3","Compl","Loyal1","Loyal2","Loyal3"
"ID001",7,5,5,5,4,7,7,6,7,6,4,7,6,5,5,2,3,6,4,7,7,6,5,6
"ID002",10,9,10,10,9,10,10,9,10,9,10,10,9,10,10,10,10,10,10,8,10,10,2,10
"ID003",8,7,6,4,7,7,7,7,7,8,5,7,8,7,7,7,7,8,7,7,6,6,2,7
"ID004",10,10,5,5,10,7,10,5,8,10,10,8,4,5,8,5,5,10,10,10,5,10,4,10
"ID005",10,10,5,8,9,8,7,10,10,9,8,10,9,9,8,6,6,10,8,8,5,10,3,8
"ID006",8,9,10,8,9,10,9,7,9,10,9,10,8,9,9,10,10,8,7,7,8,10,3,10
"ID007",8,7,1,7,7,9,6,2,7,8,9,7,8,7,8,5,7,8,8,8,7,7,6,8
"ID008",8,8,9,7,9,5,6,1,8,6,7,8,7,8,7,5,7,7,6,7,8,5,7,8
"ID009",7,9,6,6,8,7,7,7,7,8,6,7,7,7,8,5,7,7,7,7,8,6,3,7
"ID010",6,7,7,8,8,8,7,3,6,6,8,8,8,7,8,4,6,7,5,5,6,10,4,6
"ID011",7,10,7,7,7,7,6,8,8,8,8,8,8,8,8,7,7,10,6,7,7,10,4,8
"ID012",9,9,5,8,9,10,10,9,7,8,8,8,9,9,8,5,7,8,8,7,7,5,2,5
"ID013",8,9,8,8,7,8,6,9,9,9,7,8,8,9,8,5,6,8,8,7,8,7,3,8
"ID014",10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,7,8,10,8,8,8,10,4,10
"ID015",10,8,4,6,10,5,5,10,8,8,8,9,6,9,7,2,5,8,6,7,7,5,2,10
"ID016",7,9,7,10,9,5,7,9,10,9,9,9,9,9,9,2,7,9,6,7,7,9,4,8
"ID017",8,7,8,10,10,8,8,6,9,8,10,9,10,9,4,5,10,9,8,7,5,10,2,10
"ID018",7,5,2,5,5,5,7,7,7,6,5,8,7,7,7,7,7,8,5,5,5,3,3,3
"ID019",9,9,9,8,9,8,8,10,8,8,9,9,8,9,9,8,7,9,8,9,10,9,5,10
"ID020",7,7,5,6,7,5,7,6,8,7,7,8,8,7,6,7,7,8,8,6,5,8,1,6
"ID021",8,9,7,8,8,4,7,7,7,8,8,8,9,8,8,7,7,8,9,8,7,8,4,9
"ID022",7,6,8,8,8,6,9,9,8,3,10,7,9,8,6,5,5,7,4,5,7,3,6,7
"ID023",7,7,7,7,7,7,5,7,7,7,7,8,7,7,5,5,7,7,7,5,7,7,2,7
"ID024",7,8,8,7,8,7,7,8,8,8,8,8,8,7,7,9,9,8,8,8,9,8,2,9
"ID025",7,8,8,6,6,8,7,7,6,8,5,5,8,6,4,3,5,7,5,2,4,3,2,1
"ID026",10,10,10,10,10,8,10,8,10,10,10,10,10,10,10,8,8,10,8,10,10,10,8,10
"ID027",10,10,7,8,8,8,8,8,8,8,8,8,8,8,7,7,7,8,5,7,5,7,3,7
"ID028",2,8,5,8,1,8,8,10,5,5,5,5,5,5,5,10,10,8,5,7,5,10,10,8
"ID029",7,8,8,7,7,6,7,7,8,7,8,7,7,7,8,7,8,8,7,7,7,9,5,8
"ID030",10,10,8,10,10,7,10,10,10,10,9,10,9,10,9,8,10,10,10,9,8,10,8,10
"ID031",9,9,5,7,8,6,8,7,9,9,8,9,8,9,8,8,9,9,8,8,8,8,3,10
"ID032",7,7,7,7,7,7,7,6,8,7,7,8,8,7,7,5,5,8,5,5,3,5,3,4
"ID033",9,7,7,10,10,5,10,5,5,7,10,5,7,7,10,5,10,7,5,9,7,10,1,10
"ID034",8,8,7,10,8,7,7,10,10,6,10,10,10,10,7,8,7,6,9,10,10,10,3,8
"ID035",7,10,5,6,5,10,5,10,5,1,5,5,5,5,1,1,1,7,3,1,1,1,5,1
"ID036",10,7,7,10,10,10,8,10,8,4,10,4,10,10,8,8,7,7,7,7,10,7,2,8
"ID037",7,9,6,6,6,7,6,9,9,10,6,9,7,9,5,3,5,7,7,3,1,3,6,2
"ID038",8,7,7,5,8,8,7,5,8,7,7,8,7,7,7,6,5,8,5,7,7,9,3,6
"ID039",10,10,5,7,7,8,7,7,9,10,9,10,9,10,8,9,9,10,7,9,10,10,10,9
"ID040",6,7,8,7,8,7,7,8,8,7,7,8,8,8,7,6,8,8,7,7,6,10,4,9
"ID041",8,8,5,8,10,10,10,10,8,10,10,10,9,10,7,8,8,10,9,9,10,8,3,10
"ID042",7,8,7,9,9,9,8,7,9,7,9,8,8,8,9,8,7,8,7,9,5,9,10,8
"ID043",8,7,10,10,10,5,7,5,10,8,10,10,9,8,10,8,10,10,10,8,10,10,2,10
"ID044",6,6,7,7,6,8,7,7,7,8,8,8,5,8,7,4,5,7,7,8,4,6,2,9
"ID045",10,10,8,10,10,8,9,10,10,10,10,10,9,9,10,8,10,10,10,10,10,8,7,10
"ID046",10,6,7,10,10,8,8,10,10,7,10,9,10,10,10,8,7,9,8,8,8,7,6,1
"ID047",10,8,5,8,7,8,7,10,9,10,9,8,7,8,8,2,5,8,6,7,10,5,2,7
"ID048",7,7,7,8,7,7,8,5,8,8,8,7,8,8,8,7,8,8,7,8,9,8,7,8
"ID049",6,8,1,2,5,6,10,5,6,7,1,7,6,6,2,3,4,6,5,4,3,4,1,4
"ID050",5,10,1,5,9,10,8,1,6,9,9,10,9,9,7,1,2,7,4,6,10,4,2,7
"ID051",8,10,7,10,8,8,8,10,8,6,10,7,8,8,10,4,7,8,10,8,10,10,3,8
"ID052",8,7,7,8,7,6,6,8,8,6,7,7,6,7,6,5,6,7,6,7,7,6,2,7
"ID053",8,7,8,7,7,8,5,9,9,10,7,9,7,8,8,8,8,9,8,7,5,7,3,10
"ID054",5,8,1,10,7,10,8,8,8,8,8,10,8,6,6,8,7,8,7,7,8,8,6,8
"ID055",7,8,7,7,7,7,7,5,7,7,7,8,7,8,8,8,7,8,6,7,7,7,4,7
"ID056",7,5,7,7,8,9,8,6,7,7,9,7,8,7,8,8,7,8,7,7,6,7,2,7
"ID057",8,9,2,7,9,7,5,8,8,5,6,5,6,5,2,5,5,5,2,6,7,5,10,5
"ID058",9,9,8,8,10,7,7,9,9,7,10,10,8,8,10,8,8,9,8,8,9,8,4,8
"ID059",9,10,7,10,8,10,8,8,10,9,8,9,8,9,8,8,9,10,8,10,10,10,5,10
"ID060",7,7,7,8,7,6,8,5,8,7,8,7,7,8,8,6,6,8,7,7,5,7,6,5
"ID061",7,6,8,5,7,9,9,1,6,7,6,6,7,7,6,4,4,6,4,6,4,7,2,4
"ID062",8,8,4,8,7,7,5,7,8,9,9,7,7,9,9,7,7,9,7,7,7,8,7,8
"ID063",7,7,8,8,9,9,7,9,7,7,8,8,8,8,8,9,8,8,7,8,9,7,3,9
"ID064",8,8,1,5,8,6,7,8,8,8,3,4,7,8,5,5,6,7,5,7,6,10,7,6
"ID065",7,8,8,8,4,9,7,8,8,7,8,8,9,6,7,6,7,7,7,6,6,2,5,3
"ID066",8,9,6,9,8,8,8,7,8,9,8,9,9,9,9,2,6,9,7,6,6,6,2,6
"ID067",8,4,9,8,6,8,10,8,8,8,8,10,8,10,10,7,7,8,8,7,7,7,9,6
"ID068",7,7,7,7,7,8,8,8,6,5,8,7,8,7,7,5,5,6,1,4,4,1,7,4
"ID069",8,7,6,8,9,9,6,7,8,7,7,8,9,9,8,6,7,8,7,8,7,9,7,8
"ID070",8,7,5,8,8,8,7,8,7,8,8,9,8,8,9,6,6,7,6,7,10,7,3,8
"ID071",7,9,7,8,9,7,7,8,8,8,8,9,9,8,9,7,7,9,7,8,7,7,3,9
"ID072",10,10,5,8,8,10,10,10,10,9,9,10,10,9,8,7,7,10,6,9,10,5,4,8
"ID073",9,10,7,7,10,8,10,7,8,10,10,10,10,10,10,1,1,10,10,10,10,1,5,1
"ID074",5,7,7,5,7,8,6,4,7,7,5,7,7,7,6,7,7,7,6,5,5,7,6,5
"ID075",8,7,7,7,7,8,10,10,7,7,8,7,8,7,8,7,7,7,1,7,6,10,5,5
"ID076",4,6,4,5,7,8,2,9,8,7,6,7,8,8,6,4,4,7,6,6,7,8,5,6
"ID077",7,7,7,7,8,9,9,10,7,8,8,8,8,8,8,8,8,7,6,9,9,8,4,9
"ID078",6,6,8,7,7,6,5,5,7,6,4,7,6,6,7,5,5,8,7,6,5,10,6,8
"ID079",7,8,8,8,7,8,6,7,8,7,7,8,7,8,8,6,6,8,6,7,7,8,6,8
"ID080",8,7,7,6,7,7,8,7,8,7,7,8,8,8,6,7,7,7,8,7,7,8,1,8
"ID081",8,9,8,8,9,9,8,9,9,9,9,10,9,9,9,7,7,8,9,8,7,8,10,10
"ID082",8,7,7,9,8,8,6,4,8,8,8,8,7,7,7,7,8,8,4,8,8,9,6,8
"ID083",8,9,7,9,8,8,8,8,9,8,10,9,9,7,9,7,8,9,9,10,8,10,6,10
"ID084",7,6,6,7,8,7,7,6,8,7,8,8,9,7,7,6,7,8,6,6,6,7,4,6
"ID085",7,7,4,8,8,8,6,8,8,8,8,7,8,7,7,6,7,8,7,6,8,8,4,5
"ID086",8,6,8,8,9,8,5,3,7,5,9,9,9,8,10,4,8,7,9,7,7,9,4,5
"ID087",9,9,6,8,9,9,8,10,9,9,8,8,9,9,9,8,9,8,9,10,9,10,3,10
"ID088",9,8,7,9,9,9,10,8,9,8,9,9,9,9,9,9,9,8,7,9,9,10,8,8
"ID089",7,8,6,9,8,8,7,8,9,8,8,7,7,9,7,7,8,9,8,8,10,10,2,10
"ID090",7,8,7,10,8,7,7,7,8,9,10,8,10,9,9,7,8,7,9,8,9,8,9,9
"ID091",9,10,10,8,8,8,8,8,9,10,9,10,10,8,9,8,8,10,8,7,10,10,10,8
"ID092",8,8,6,7,7,8,7,7,7,8,6,8,7,6,7,6,7,8,8,7,6,6,3,8
"ID093",8,8,8,9,9,8,9,7,9,8,9,8,9,8,9,7,8,8,9,9,9,10,2,9
"ID094",6,8,7,7,9,6,8,6,8,5,8,10,8,7,6,8,6,7,8,7,7,8,10,5
"ID095",2,7,7,2,5,7,5,7,4,8,2,3,4,4,4,4,4,5,2,3,1,1,2,1
"ID096",9,9,10,10,9,7,8,10,9,8,10,7,9,8,9,8,10,8,8,10,9,10,8,9
"ID097",9,8,7,7,7,8,5,8,9,8,7,9,8,9,10,9,8,8,8,9,8,9,6,9
"ID098",7,7,6,7,7,7,6,8,8,8,7,7,6,7,7,7,7,8,6,7,7,7,3,8
"ID099",8,6,3,7,7,7,6,5,8,6,7,7,7,7,7,5,7,8,7,7,7,7,3,5
"ID100",10,10,7,10,7,7,7,9,10,8,10,10,7,10,10,7,7,8,9,9,10,7,10,10
"ID101",8,8,5,8,8,8,5,8,8,7,8,8,8,7,8,7,8,8,5,7,8,8,3,5
"ID102",8,8,7,8,8,8,8,7,8,7,8,7,8,8,7,7,7,8,8,7,7,7,6,7
"ID103",10,7,2,8,7,8,7,8,9,9,5,9,8,7,8,7,8,8,8,8,8,9,2,10
"ID104",7,6,7,7,6,7,7,6,7,6,8,6,7,6,7,6,7,10,6,8,7,5,8,8
"ID105",10,10,8,8,9,9,7,7,9,9,8,9,8,10,9,8,8,10,7,8,8,10,6,10
"ID106",7,3,7,3,9,7,2,8,6,7,9,7,9,7,7,5,5,7,5,5,10,5,3,7
"ID107",10,5,5,5,8,10,10,10,10,5,5,10,5,10,10,10,8,10,8,8,8,8,3,8
"ID108",8,9,8,7,8,7,8,8,8,7,8,8,8,8,7,3,7,8,8,9,8,8,3,9
"ID109",7,10,7,10,10,10,1,7,10,10,10,1,10,1,10,8,8,8,7,8,2,10,4,10
"ID110",8,8,7,8,9,8,9,8,9,7,8,8,8,8,8,7,8,10,8,10,10,10,7,10
"ID111",5,6,5,8,8,8,8,5,7,9,7,8,9,9,8,5,7,9,8,7,7,9,2,8
"ID112",9,9,10,8,9,9,8,9,9,9,7,9,8,9,8,7,9,8,6,8,8,10,2,9
"ID113",9,8,8,9,8,9,10,9,9,8,9,9,9,9,9,9,8,9,9,9,10,10,10,10
"ID114",8,10,8,10,8,8,8,10,10,10,10,10,10,10,10,8,8,10,8,10,10,10,4,10
"ID115",10,8,7,10,9,7,10,8,8,7,10,10,10,10,10,8,8,8,8,10,10,8,6,10
"ID116",7,8,10,8,10,5,10,10,8,7,4,5,8,7,7,2,5,8,5,5,5,8,10,9
"ID117",9,10,10,9,7,5,1,9,7,8,9,9,9,10,10,10,10,8,10,10,10,10,6,10
"ID118",10,10,10,10,10,10,10,10,10,9,7,10,10,9,10,8,8,10,7,8,9,10,2,10
"ID119",8,9,8,9,9,10,8,10,10,7,10,9,10,9,9,9,9,8,8,9,8,10,10,7
"ID120",8,10,10,10,10,10,8,7,8,8,8,8,8,8,10,8,8,8,10,10,8,10,10,8
"ID121",9,10,7,8,8,9,8,10,8,8,8,9,9,8,8,7,8,9,10,5,8,6,2,7
"ID122",7,5,8,6,7,9,8,6,8,8,7,5,7,7,8,2,4,5,7,5,5,10,3,1
"ID123",10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10
"ID124",7,7,3,5,5,8,9,4,6,4,6,7,7,5,6,5,6,7,4,6,4,8,5,8
"ID125",7,5,7,7,8,6,5,9,6,3,5,3,7,4,9,6,7,8,5,7,7,8,3,6
"ID126",7,7,5,1,2,8,6,7,8,8,7,9,7,8,9,5,5,6,7,7,4,2,3,4
"ID127",9,10,9,10,9,10,9,9,10,8,9,9,9,9,9,9,9,9,10,9,9,10,10,9
"ID128",6,6,7,8,8,7,6,6,8,7,8,8,7,8,8,5,6,8,8,7,7,8,3,7
"ID129",8,5,7,7,7,8,7,7,7,5,9,7,8,7,8,5,5,7,6,6,6,1,10,8
"ID130",8,8,8,8,8,7,7,8,7,6,8,8,8,8,7,7,7,8,7,7,7,7,2,8
"ID131",5,10,10,5,5,10,5,8,8,7,5,8,5,8,8,5,10,5,7,10,1,10,1,8
"ID132",7,9,1,5,9,7,6,10,8,5,6,7,8,7,8,4,4,7,5,5,6,4,10,5
"ID133",5,6,5,5,6,5,10,1,2,4,5,4,6,5,6,5,5,6,5,5,6,10,10,10
"ID134",8,10,10,8,10,10,10,4,8,8,10,10,10,10,8,10,8,6,8,8,10,10,2,8
"ID135",8,6,10,6,9,7,7,5,8,3,8,8,9,7,7,6,7,8,7,7,5,8,2,7
"ID136",8,9,7,7,9,8,3,7,10,8,9,7,9,9,7,8,8,8,8,8,5,10,5,10
"ID137",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"ID138",8,9,8,7,7,8,8,7,8,7,10,8,8,7,8,6,8,10,8,8,9,8,10,10
"ID139",8,9,9,8,10,9,9,8,9,9,10,9,8,9,9,1,9,10,10,9,7,7,3,9
"ID140",10,8,5,8,8,8,9,8,8,8,8,8,6,10,8,7,10,8,8,8,6,10,6,8
"ID141",10,9,7,10,10,9,7,7,8,7,10,9,8,8,9,9,6,9,8,9,10,8,3,10
"ID142",8,9,7,8,8,8,8,7,8,8,8,9,7,8,8,7,7,8,8,7,7,10,10,10
"ID143",5,7,5,6,7,4,8,5,5,8,6,7,7,7,6,4,5,5,5,5,7,5,1,6
"ID144",10,8,8,10,8,7,10,8,9,7,7,8,8,7,7,2,8,8,8,8,8,10,6,8
"ID145",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2,10
"ID146",5,8,5,7,7,8,8,10,9,8,9,9,9,9,9,9,9,10,8,8,9,3,4,10
"ID147",5,7,8,4,5,5,8,8,5,5,4,4,7,5,5,5,4,6,5,4,2,5,5,4
"ID148",8,8,5,7,7,6,6,4,8,8,8,8,8,9,8,6,7,8,8,7,6,7,4,7
"ID149",8,8,1,6,5,3,4,8,5,8,5,8,4,4,5,5,5,7,5,10,7,5,2,5
"ID150",7,10,7,8,8,7,10,10,10,8,7,7,9,10,7,5,7,8,8,6,10,10,4,10
"ID151",10,10,7,9,8,8,8,10,9,8,10,9,9,9,9,8,8,9,7,8,5,10,6,10
"ID152",8,8,8,8,8,8,8,8,8,6,8,8,8,8,8,5,7,8,8,8,8,8,6,8
"ID153",5,10,8,10,10,7,10,5,8,10,5,8,10,5,5,1,6,8,4,8,10,9,3,10
"ID154",1,1,10,10,10,10,10,10,10,5,10,10,10,1,10,5,10,9,10,7,5,10,6,10
"ID155",9,9,7,6,7,7,8,10,8,9,9,8,7,8,7,6,7,8,8,7,6,7,1,7
"ID156",8,8,7,8,8,9,8,9,8,7,8,8,7,8,8,6,7,7,8,7,7,8,6,7
"ID157",8,6,6,8,6,8,8,8,9,7,6,2,6,8,10,7,7,8,7,7,8,1,6,8
"ID158",8,9,9,9,9,6,7,8,8,8,8,8,9,9,8,8,8,9,8,8,8,10,10,8
"ID159",5,7,3,5,6,3,3,10,6,6,6,8,7,6,4,4,6,7,7,6,6,3,4,8
"ID160",7,9,7,8,8,9,7,8,8,8,7,7,8,8,8,9,6,8,7,8,8,9,7,8
"ID161",8,10,8,10,8,7,8,9,9,6,8,8,8,8,8,7,8,8,7,7,7,10,1,8
"ID162",8,6,7,8,7,8,7,8,7,7,8,8,8,8,7,5,6,7,7,8,6,10,4,7
"ID163",8,9,8,7,9,8,8,7,9,9,9,9,9,8,8,6,8,9,8,9,10,9,1,10
"ID164",6,4,6,7,5,7,6,7,6,5,7,9,6,7,7,8,5,8,6,2,6,6,2,5
"ID165",8,9,7,5,10,7,10,10,7,8,4,6,4,4,1,2,1,8,3,3,2,10,2,10
"ID166",7,7,10,8,10,3,10,10,10,5,6,10,10,8,10,5,7,8,8,10,8,5,2,5
"ID167",10,8,8,10,10,8,10,10,10,7,10,10,10,10,9,7,7,8,8,8,10,10,2,10
"ID168",5,4,6,8,8,7,9,8,7,3,8,8,8,7,7,6,8,7,6,6,3,9,10,7
"ID169",8,8,5,10,9,3,7,8,8,5,8,8,7,8,7,5,8,8,6,7,5,8,6,8
"ID170",8,5,7,3,7,9,8,5,8,4,6,6,7,5,4,5,7,8,6,7,9,7,6,8
"ID171",6,7,7,6,7,6,7,10,6,3,7,7,7,7,7,6,6,7,6,6,6,8,10,6
"ID172",5,10,1,5,10,8,8,10,10,10,10,8,10,10,10,10,10,8,8,10,5,10,3,10
"ID173",8,8,4,9,8,7,7,7,9,9,8,9,8,8,7,7,8,8,7,8,8,8,6,9
"ID174",6,7,5,8,6,8,7,8,8,7,7,7,8,7,9,5,5,7,7,4,10,5,9,7
"ID175",9,10,8,9,10,8,8,9,9,9,9,9,8,9,9,5,8,10,9,8,9,1,5,10
"ID176",8,10,7,8,8,7,10,10,8,10,8,8,5,10,8,8,7,10,8,7,5,5,8,5
"ID177",10,6,6,8,10,8,7,7,6,5,9,9,8,9,8,10,10,8,9,10,10,4,10,10
"ID178",9,8,7,8,7,9,7,10,8,7,9,7,9,9,7,7,7,8,9,7,6,9,5,8
"ID179",7,7,7,7,7,7,7,10,7,5,7,7,9,7,7,7,7,8,10,7,5,10,10,10
"ID180",8,8,10,8,7,8,8,7,8,7,2,7,7,8,7,6,7,8,7,7,4,5,2,7
"ID181",8,8,7,7,9,7,6,10,9,8,8,7,7,7,8,6,6,8,7,7,5,8,2,7
"ID182",5,7,8,7,8,5,10,5,5,3,5,4,5,4,4,5,2,7,5,6,7,8,8,6
"ID183",10,10,10,10,8,10,7,10,9,8,8,9,9,10,9,5,8,8,7,8,8,10,1,10
"ID184",8,8,8,8,8,8,8,8,8,7,8,8,8,8,8,8,8,8,8,7,8,3,5,7
"ID185",7,8,5,7,7,6,7,5,7,4,7,5,6,7,6,6,6,5,5,6,7,4,2,6
"ID186",10,9,9,10,10,10,10,8,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"ID187",7,8,6,8,8,5,7,9,9,9,8,10,9,10,8,8,8,8,6,8,7,9,5,8
"ID188",8,4,3,7,8,1,10,1,6,2,3,5,4,7,2,1,1,7,4,1,4,6,5,7
"ID189",6,7,5,6,9,6,7,5,7,2,6,6,7,6,4,5,6,7,6,6,2,7,3,5
"ID190",9,9,8,8,8,7,8,9,8,9,8,8,8,8,8,7,7,8,7,7,7,10,4,8
"ID191",5,5,9,10,9,10,10,9,10,5,9,3,3,9,9,1,5,9,10,8,10,10,3,8
"ID192",10,10,10,10,10,8,10,7,10,8,10,10,10,10,8,7,10,10,5,10,5,1,6,10
"ID193",9,9,10,9,8,9,9,8,10,8,10,9,10,9,10,6,7,8,10,8,5,1,6,10
"ID194",10,10,7,1,10,10,10,10,10,10,9,10,10,10,8,10,9,9,9,8,7,10,3,10
"ID195",8,8,7,6,8,7,6,7,7,6,7,8,6,8,8,4,6,6,6,7,10,5,10,5
"ID196",6,8,5,4,8,10,8,6,3,9,7,8,7,5,5,5,5,6,5,7,1,7,1,6
"ID197",10,10,1,10,10,10,10,10,10,10,10,10,10,10,10,5,10,10,10,10,10,10,5,10
"ID198",8,10,7,10,8,10,10,10,10,10,8,10,8,10,10,10,10,10,10,8,1,10,3,10
"ID199",8,7,8,7,7,8,8,7,7,5,8,7,9,8,9,5,6,8,7,6,7,10,2,9
"ID200",8,6,8,8,10,9,9,9,7,7,7,9,9,8,9,6,7,10,8,8,10,8,6,9
"ID201",8,8,8,8,6,8,8,8,8,9,9,8,8,9,9,5,7,8,7,9,7,1,10,9
"ID202",8,7,6,9,8,7,8,7,9,6,9,9,8,7,10,8,7,7,10,10,10,10,10,8
"ID203",7,2,4,6,8,8,7,6,5,1,8,5,5,3,8,4,4,8,8,8,4,6,8,8
"ID204",5,3,6,4,7,6,5,8,7,3,6,7,6,8,6,3,5,7,5,5,5,8,10,8
"ID205",10,7,8,7,8,8,7,7,7,5,7,7,6,6,7,5,5,8,6,8,8,10,6,8
"ID206",5,5,5,7,5,5,5,8,7,4,9,7,5,8,8,7,7,6,6,4,5,1,2,1
"ID207",8,7,8,9,9,8,9,8,8,6,9,9,9,8,9,9,9,7,8,9,8,10,10,10
"ID208",7,8,8,8,8,8,8,6,10,9,7,7,9,7,10,7,9,10,10,7,8,8,2,10
"ID209",9,8,9,7,9,8,9,3,8,8,7,8,8,8,8,7,7,7,8,7,7,9,7,8
"ID210",10,7,5,8,5,5,5,10,10,5,10,8,6,5,10,10,8,8,8,10,7,5,2,10
"ID211",5,7,6,7,8,7,7,8,7,7,5,7,7,7,6,7,7,8,7,5,5,8,6,5
"ID212",9,7,8,8,8,7,7,7,8,7,7,8,8,8,8,7,7,7,7,7,7,1,6,7
"ID213",5,8,5,8,8,5,5,9,9,8,5,8,8,8,5,3,6,8,5,6,8,8,4,7
"ID214",8,7,6,8,7,7,6,6,8,7,6,7,7,8,7,8,9,8,7,8,6,9,3,8
"ID215",6,6,5,7,7,6,6,4,4,4,8,6,7,4,5,7,6,6,6,6,7,6,6,5
"ID216",7,9,3,4,9,5,5,3,7,7,4,8,8,7,4,2,6,8,9,5,5,1,2,5
"ID217",8,8,8,8,10,7,7,3,8,7,8,7,8,8,8,8,8,7,7,8,8,10,6,10
"ID218",8,9,9,9,8,9,8,9,10,7,8,9,8,9,9,5,5,9,9,8,8,9,2,9
"ID219",7,7,8,8,8,8,9,7,9,9,8,8,9,8,7,6,6,8,9,8,6,9,2,9
"ID220",2,3,4,3,5,4,3,3,4,3,2,3,3,3,4,3,3,4,3,4,5,1,3,3
"ID221",5,7,7,8,5,7,7,7,7,6,8,10,7,8,7,5,5,7,8,5,8,7,4,5
"ID222",8,7,7,10,9,8,10,5,8,7,8,10,9,8,3,6,8,9,7,8,8,10,1,10
"ID223",8,8,9,9,9,8,7,7,8,7,9,10,8,8,7,7,7,8,8,8,8,9,5,9
"ID224",7,7,9,7,8,8,6,5,7,8,7,8,8,7,8,3,5,8,5,6,8,7,4,7
"ID225",8,5,8,5,8,10,8,5,7,5,7,7,7,7,5,4,5,7,8,10,10,3,1,10
"ID226",8,6,8,10,10,7,6,10,7,3,8,8,8,8,7,7,6,8,7,7,1,10,6,7
"ID227",7,4,7,8,7,6,7,6,6,5,7,7,8,5,7,1,4,6,7,5,7,4,4,5
"ID228",10,8,9,9,10,8,10,6,7,7,8,9,10,10,9,8,7,8,9,9,7,9,10,8
"ID229",8,8,5,7,7,7,6,6,8,6,7,8,7,7,8,2,4,8,7,6,5,8,8,5
"ID230",10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,10,10,10,10,10
"ID231",5,8,6,6,7,5,1,7,7,7,4,7,8,7,4,4,5,6,5,5,4,2,3,3
"ID232",8,8,5,8,8,8,8,5,8,8,8,8,8,8,5,5,8,9,5,8,5,5,4,5
"ID233",10,5,8,9,9,8,9,5,7,5,9,10,10,10,10,9,9,9,9,8,9,10,5,8
"ID234",7,7,7,6,8,8,7,5,7,8,6,7,8,7,8,8,8,7,7,7,6,8,3,7
"ID235",5,8,1,7,1,5,7,9,6,5,3,6,5,7,3,3,6,7,6,5,7,5,3,5
"ID236",5,7,7,7,8,7,7,5,7,7,7,7,7,7,7,7,7,5,7,7,7,7,10,7
"ID237",8,6,4,5,7,6,5,8,8,7,6,7,8,6,7,5,7,8,6,7,8,9,3,8
"ID238",6,7,8,7,7,8,8,6,7,6,6,7,6,7,6,4,6,8,7,6,7,3,10,8
"ID239",5,9,6,8,6,9,8,5,5,1,4,5,8,6,5,8,6,8,4,4,1,2,5,1
"ID240",6,8,8,7,7,6,7,7,7,7,8,7,6,6,7,5,7,8,8,8,10,4,10,9
"ID241",9,7,10,10,10,4,10,7,8,7,10,10,10,7,9,8,7,9,10,10,8,10,6,10
"ID242",1,10,1,1,10,10,10,10,9,8,9,10,8,10,5,1,1,10,8,5,1,10,6,10
"ID243",10,8,5,10,8,8,8,1,8,10,8,10,8,10,10,5,5,10,8,10,10,10,2,10
"ID244",10,9,7,10,10,10,10,8,8,8,10,8,10,9,9,5,8,8,7,10,10,10,10,10
"ID245",5,7,9,5,7,5,7,5,7,10,10,7,7,8,5,7,5,7,6,7,8,7,10,8
"ID246",7,5,5,7,7,7,7,7,7,5,7,6,6,6,4,5,8,5,6,5,8,1,10,5
"ID247",7,10,3,9,8,9,9,9,9,9,9,10,8,8,8,5,5,9,8,8,10,5,6,9
"ID248",7,8,5,8,8,8,8,7,8,7,6,8,9,7,9,8,8,8,7,8,8,7,10,8
"ID249",8,8,6,8,7,7,6,7,7,6,6,8,7,6,7,5,5,8,5,7,2,7,7,7
"ID250",8,10,8,9,9,10,8,5,9,10,10,8,8,8,9,5,9,7,8,8,9,10,3,10
